dip2.1,Long,31695.5,2599,32958.0,4709,0.46818241783787223
dip2.2,Long,31649.5,2815,32959.0,4710,0.5756088837215547
dip2,Long,31741.5,2596,33000.0,4717,0.38167378365496574
dip2.1,Long,32953.0,4711,32961.0,4717,0.0008322964581119162
dip3,Long,31718.0,2604,33000.0,4718,0.42713216848851293
dip2.2,Long,32873.5,4716,32882.5,4718,6.855981868897905e-11
dip2.3,Long,31520.5,2947,33302.0,4732,1.3916186693743449
dip2.4,Long,31306.0,3146,33732.0,4767,3.063446957218289
dip2.1,Long,32283.5,8132,32649.0,10869,0.008160434126684803
dip2.2,Long,32236.5,8135,32650.0,10870,0.020651268432041795
dip2,Long,32334.5,8125,32691.0,10871,0.002692904717606414
dip3,Long,31851.5,8348,32691.0,10872,0.9578242780402854
dip2.3,Long,32096.0,8166,32993.0,12775,0.309282665255774
dip2.4,Long,31860.0,8266,33423.0,13317,1.271676769836851
dip2,Long,33834.5,25513,34798.5,27658,0.21923668243919953
dip2.2,Long,33744.0,25592,34757.5,27658,0.33443585541196835
dip2.1,Long,33744.0,25591,34756.5,27659,0.3339949525684276
dip2.1,Long,35125.5,33763,35471.5,35836,0.009663882023296612
dip2.2,Long,35075.5,33880,35472.5,35845,0.0246875674364747
dip2.1,Long,35405.5,35859,35413.5,35866,4.951936025869019
dip2,Long,34994.5,33450,35513.5,35951,0.0775322398970989
dip3,Long,34762.0,34132,35513.5,35952,0.18889460909043498
dip2.2,Long,35180.5,44593,35190.0,49333,9.938522303037459e-40
dip2.2,Long,35083.0,49528,35092.0,49533,0.3129734221075108
dip3,Long,34486.5,46690,35228.5,50790,0.11845972098613528
dip2.1,Long,35230.5,44509,35441.0,52092,1.6956111700968842e-06
dip2.2,Long,35002.5,49651,35442.0,52093,0.35346387632263665
dip2,Long,35271.0,44352,35483.0,52105,1.0778421787065111e-07
dip2.3,Long,35040.0,44637,35530.5,52126,0.0021247233471292522
dip2.4,Long,34709.0,46575,35960.5,54832,0.10680868844257611
tip3,Short,36345.5,54958,36296.0,60781,2.218290960057385e-14
dip2.1,Long,36316.0,60760,36682.5,69382,0.005889983266695108
dip2.2,Long,36286.5,60781,36683.5,69383,0.010067782709563195
dip2,Long,36378.0,60637,36724.5,69386,0.0015787011850198697
dip2.3,Long,36406.5,62358,37026.5,69417,0.02119144471034984
dip2.4,Long,36080.0,67551,37745.5,71400,0.4709091744669212
dip3,Long,37634.0,77600,37865.5,85078,0.0005212925911225162
dip2.2,Long,37868.0,77472,37883.5,85080,2.3747403091974943e-23
dip2.1,Long,37924.0,77464,37962.5,85112,3.4449636460563876e-16
dip2,Long,37964.0,77452,38014.0,85130,4.560547958025058e-30
dip2.3,Long,37721.5,77537,38167.5,85500,0.013068364031158582
dip2.1,Long,37306.5,88196,37907.0,95901,0.044633647188931466
dip2.2,Long,37256.0,88199,37908.0,95902,0.07179759485894757
dip2,Long,37349.5,88184,37949.0,95941,0.02858408760977933
dip2.3,Long,37125.5,88323,38251.0,96181,0.3481410369507715
dip2.4,Long,37484.5,77628,38597.5,100689,0.04328666990438084
tip3,Short,39672.0,100809,38826.0,107727,0.04193343537672374
dip3,Long,38433.0,107960,38651.5,114439,5.159751360821982e-05
dip2.2,Long,38905.5,104546,38914.5,115175,4.517590922176049e-46
dip2.2,Long,38804.0,115271,38813.0,115277,1.2370309636847021
dip2.2,Long,38719.0,115355,38728.0,115422,1.0717261645194283e-05
dip2.1,Long,38972.5,104497,39024.0,116290,3.85152792105881e-21
dip2.2,Long,38648.5,115453,39025.0,116291,0.980583278026891
dip2.1,Long,38978.0,116305,38986.0,116309,2.6098911362692
dip2.1,Long,38958.5,116311,38966.5,116330,0.002570091899096975
dip2.2,Long,38954.0,116312,38963.0,116331,0.003079347714493087
dip2,Long,39017.5,104425,39067.5,116362,1.6431969312204723e-48
dip2.3,Long,38882.0,107724,39257.5,117487,8.882185153274207e-05
dip2.4,Long,38448.5,107918,39383.5,117560,0.07304144628673172
dip2.4,Long,38397.5,123985,39183.0,141087,0.009756297840443752
dip3,Long,39114.0,121340,39192.0,141087,9.160704419971724e-38
dip1.3,Long,36821.0,156783,37213.0,162866,0.0012352542366091228
dip1,Long,36859.0,154580,37423.0,164147,0.002388512970337298
dip1.3,Long,37194.0,163395,37488.5,164563,0.14678761566619994
dip1.1,Long,36838.5,154594,37533.0,164564,0.005611803098120582
dip1.2,Long,36813.0,156782,37653.0,164569,0.009597648372316721
dip3,Long,38258.0,147697,38450.0,172340,8.471563301343994e-17
